Year MonthOfYear DayOfMonth DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) AblationPressureTransducer(mm) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) HorDilOfPrecGPS_HDOP<1 LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 9 6 250 6094 925.54 1.34 .44 92.7 4.2 3.39 10.8 -999 -999 142.2 141.5 46.7 47 .304 306.9 317.3 .84 0 2.177 1.437 10.467 11.202 4 -.08 -.07 -.07 -.15 -.2 -.24 -.34 -.45 -999 -999 61.099888 46.832943 623.6 .77 -999 133.3 13.12
2016 9 7 251 6095 928.79 1.13 .28 84.8 3.78 2.71 .7 -999 -999 168.7 167.7 43 43.2 .258 282.2 315.5 .59 -.25 2.508 1.457 10.481 11.184 5 -.08 -.08 -.08 -.15 -.19 -.23 -.34 -.46 -999 -999 61.09989 46.83295 625 .74 -999 133.4 13.11
2016 9 8 252 6096 925.63 .2 -.63 74.2 3.08 5.85 344 -999 -999 202.3 197.8 56.3 56.4 .284 240.3 310 .2 -1.1 2.433 1.474 10.415 11.156 4 -.07 -.08 -.07 -.15 -.19 -.22 -.32 -.46 -999 -999 61.09989 46.832954 625.5 .74 -999 141.6 13.69
2016 9 9 253 6097 916.58 -.02 -.91 68.9 2.85 6.67 348.3 -999 -999 202.2 197.2 53.3 53.8 .27 234.2 306.7 .14 -1.81 2.43 1.503 10.308 11.134 4 -.07 -.07 -.06 -.15 -.18 -.21 -.31 -.45 -999 -999 61.099884 46.832947 624.2 .72 -999 139.8 13.67
2016 9 10 254 6098 921.96 1.13 .27 72.9 3.27 4.63 353 -999 -999 197.3 195.5 50.5 51.4 .263 245.2 311.5 .2 -.81 2.43 1.529 10.361 11.12 4 -.07 -.07 -.07 -.15 -.17 -.21 -.3 -.45 -999 -999 61.09989 46.832947 624.7 .72 -999 140.2 13.68
2016 9 11 255 6099 924.63 1.51 .63 64.5 2.95 6.93 347.8 -999 -999 202.5 197.6 50.3 50.7 .254 235.8 310.9 .1 -.97 2.431 1.555 10.343 11.086 7 -.07 -.07 -.06 -.14 -.17 -.2 -.29 -.44 -999 -999 61.09989 46.83295 624.4 .81 -999 139.6 13.63
2016 9 12 256 6100 922.63 2.16 1.24 63.7 3.11 5.68 17 -999 -999 97.6 99 24.5 24.2 .239 269.3 312.7 .4 -.86 2.43 1.578 10.297 11.067 1 -.05 -.08 -.07 -.15 -.17 -.19 -.28 -.44 -999 -999 61.099888 46.83295 625.4 .7 -999 130.5 13.07
2016 9 13 257 6101 916.46 4.47 3.54 66.3 3.78 8.78 23.3 -999 -999 43.1 42.1 8.9 9 .215 318 320.8 .8 0 2.432 1.617 10.199 11.018 10 -.08 -.08 -.07 -.15 -.17 -.19 -.28 -.44 -999 -999 61.09988 46.83294 624.2 .7 -999 130.1 12.92
2016 9 14 258 6102 924.17 3.88 3.01 70.5 3.83 5.32 355.9 -999 -999 161.7 152.8 35.2 34.7 .228 296.5 319.3 .6 0 2.432 1.65 10.232 10.973 8 -.07 -.07 -.06 -.15 -.16 -.18 -.27 -.43 -999 -999 61.099884 46.83295 624.5 .75 -999 133.1 13.19
2016 9 15 259 6103 930.33 2.27 1.34 87.5 4.2 2.65 5.3 -999 -999 79.2 77.9 17.8 17.6 .23 303.6 318 .76 0 2.603 1.673 10.247 10.938 5 -.06 -.08 -.06 -.15 -.15 -.18 -.26 -.43 -999 -999 61.099888 46.83296 624.9 .74 -999 132 13.03
2016 9 16 260 6104 928.33 1.34 .42 78.4 3.55 4.1 345 -999 -999 185.3 172.8 48.6 48.3 .28 257.7 313.9 .34 -.42 2.616 1.692 10.21 10.92 5 -.02 -.08 -.06 -.15 -.15 -.17 -.26 -.43 -999 -999 61.09988 46.832962 624.2 .74 -999 137.1 13.51
2016 9 17 261 6105 921.58 -.04 -1.07 87.4 3.6 6.01 51.8 -999 -999 47.4 46 33.1 32.7 .717 292.8 311.6 .76 -.79 2.573 1.675 10.114 10.898 2 -.1 -.09 -.07 -.16 -.16 -.17 -.25 -.43 -999 -999 61.09988 46.832962 624.7 .76 -999 134.2 13.05
2016 9 18 262 6106 915.54 .88 .04 71.4 3.16 5.78 355.5 -999 -999 156.7 146.5 114.6 117.3 .795 269.7 311.5 .47 -.86 2.562 1.659 10.085 10.904 -999 -.08 -.09 -.06 -.16 -.17 -.18 -.25 -.43 -999 -999 61.09988 46.832954 624.3 .76 -999 134 13.28
2016 9 19 263 6107 928 -.52 -1.23 68 2.68 4.67 355.9 -999 -999 173.3 158.2 120.3 120.4 .757 241.7 303.2 .25 -2.68 2.583 1.641 10.212 10.914 -999 -.09 -.09 -.06 -.16 -.16 -.17 -.25 -.42 -999 -999 61.099884 46.832962 624.7 .8 -999 139.5 13.53
2016 9 20 264 6108 931.71 -2.33 -3.33 57.9 1.95 9.38 355.8 -999 -999 182.7 164.5 123 123.6 .749 210.7 292 .04 -4.71 2.66 1.665 10.232 10.905 2 -.3 -.09 -.06 -.15 -.17 -.17 -.24 -.42 -999 -999 61.099884 46.83295 624.5 .79 -999 144.5 13.47
2016 9 21 265 6109 937.92 -2.14 -2.99 62.7 2.16 5.73 346.5 -999 -999 164.3 149.6 107.1 107.6 .712 223.1 295.6 .13 -4.06 2.637 1.674 10.293 10.912 -999 -.59 -.09 -.05 -.16 -.17 -.17 -.23 -.42 -999 -999 61.099876 46.83296 624.8 .76 -999 140.2 13.47
2016 9 22 266 6110 934.46 -3.37 -4.17 61.3 1.89 5.51 4.3 -999 -999 170.8 155.1 107.2 108 .691 212.3 291.4 .08 -4.97 2.736 1.672 10.248 10.907 -999 -.65 -.09 -.05 -.16 -.17 -.17 -.23 -.41 -999 -999 61.099876 46.832954 624 .78 -999 137 13.46
2016 9 23 267 6111 931.71 -1.23 -2.1 60 2.24 4.51 6.7 -999 -999 163.9 149.1 99.8 100.5 .665 225.7 297.2 .11 -3.8 2.679 1.679 10.237 10.91 -999 -.61 -.09 -.05 -.16 -.16 -.17 -.23 -.41 -999 -999 61.09987 46.83296 623.5 .79 -999 134.7 13.44
2016 9 24 268 6112 937.33 -1.97 -2.86 66.1 2.31 5.35 352.3 -999 -999 158.9 145.9 92.6 93.5 .637 231.3 297.3 .21 -3.77 2.732 1.686 10.287 10.908 1 -.52 -.09 -.04 -.16 -.17 -.16 -.22 -.41 -999 -999 61.099873 46.832962 623.3 .78 -999 137.2 13.43
2016 9 25 269 6113 935.75 -2.33 -3.26 71.1 2.43 5.04 354.4 -999 -999 119.3 108.6 67.6 67.1 .616 239.5 297.4 .31 -3.75 2.622 1.677 10.265 10.907 0 -.64 -.09 -.04 -.16 -.16 -.16 -.22 -.41 -999 -999 61.099873 46.832962 623.7 .81 -999 136.3 13.34
2016 9 26 270 6114 932.83 .24 -.66 72.4 2.99 5.04 5.6 -999 -999 153.9 141.2 82 83.7 .589 255.3 308.4 .35 -1.4 2.629 1.693 10.236 10.904 0 -.29 -.09 -.04 -.16 -.16 -.16 -.21 -.41 -999 -999 61.099873 46.832962 623.3 .84 -999 135.8 13.41
2016 9 27 271 6115 933.21 -.79 -1.65 67.4 2.58 5.54 354.9 -999 -999 152.1 139.8 77 77.9 .553 232.2 302.6 .16 -2.61 2.689 1.722 10.229 10.897 3 -.34 -.09 -.03 -.16 -.16 -.16 -.21 -.41 -999 -999 61.099873 46.83296 622.4 .82 -999 138.4 13.41
2016 9 28 272 6116 930.46 -1.33 -2.19 68.4 2.53 4.75 355.5 -999 -999 130 121.4 64.5 65.3 .531 232.1 300.6 .19 -3.02 2.422 1.725 10.208 10.895 -999 -.48 -.09 -.03 -.16 -.16 -.16 -.2 -.4 -999 -999 61.099873 46.832962 623 .81 -999 135.2 13.28
2016 9 29 273 6117 935.38 -1.28 -2.14 61.7 2.28 6.33 351.2 -999 -999 144.2 131.8 67.9 68.9 .518 231.8 300.7 .18 -3.03 2.429 1.729 10.256 10.894 0 -.77 -.09 -.03 -.16 -.16 -.15 -.2 -.4 -999 -999 61.099873 46.832962 623.4 .81 -999 139.9 13.41
2016 9 30 274 6118 934.83 -1.3 -2.14 80.7 2.98 3.55 317.6 -999 -999 99.2 96.2 49.6 49.6 .519 262.1 305.3 .5 -2.09 2.426 1.736 10.226 10.887 1 -.48 -.08 -.02 -.16 -.15 -.15 -.19 -.4 -999 -999 61.09988 46.83296 624.9 .81 -999 135.9 13.3
2016 10 1 275 6119 925.33 -4.66 -5.54 74.7 2.12 5.4 354 -999 -999 137.7 125.9 67.2 68.4 .542 212.7 290.3 .14 -5.17 2.65 1.743 10.138 10.878 0 -1.39 -.08 -.02 -.16 -.15 -.14 -.19 -.39 -999 -999 61.099865 46.832954 622.8 .81 -999 137.4 13.4
2016 10 2 276 6120 921.08 -4.1 -5.05 67.6 2.02 6.36 354.4 -999 -999 140.8 126.8 68.2 69.6 .547 215.8 290.3 .15 -5.16 2.426 1.74 10.086 10.876 1 -1.88 -.08 -.01 -.15 -.14 -.14 -.18 -.39 -999 -999 61.099865 46.832966 622.8 .78 -999 136 13.41
2016 10 3 277 6121 908.71 1.83 .86 69 3.31 5.6 359.9 -999 -999 52.1 48.8 22.6 22.3 .455 284.3 313.7 .58 -.6 2.429 1.752 9.971 10.865 2 -.75 -.08 -.01 -.15 -.15 -.14 -.18 -.39 -999 -999 61.099865 46.832954 623 .75 -999 128.8 13.03
2016 10 4 278 6122 916.83 3.09 2.18 67 3.48 6.06 7.5 -999 -999 91.4 81.2 34.2 33.9 .419 276.1 317.3 .43 -.06 2.431 1.758 10.057 10.861 2 -.11 -.08 -.01 -.16 -.15 -.14 -.17 -.39 -999 -999 61.09986 46.83297 624 .78 -999 135.4 13.14
2016 10 5 279 6123 916.13 1.19 .24 68.2 3.11 5.94 355.7 -999 -999 85.7 77.2 34.7 32.9 .43 254.2 310.3 .29 -1.03 2.431 1.767 10.017 10.851 0 -.15 -.08 -.01 -.16 -.14 -.14 -.17 -.39 -999 -999 61.09987 46.832966 623.3 .78 -999 134.3 13.23
2016 10 6 280 6124 918.96 -.12 -.84 79.1 3.23 2.58 7.7 -999 -999 114.8 100.3 48.6 47 .47 261.2 309.5 .43 -1.36 2.433 1.762 10.069 10.849 -999 -.3 -.08 -.01 -.16 -.14 -.13 -.16 -.38 -999 -999 61.099873 46.832966 623.9 .83 -999 134.9 13.33
2016 10 7 281 6125 933 2.17 1.24 73.3 3.49 5.11 358.6 -999 -999 101.3 90 41.4 40.9 .46 279.3 315.4 .51 -.23 2.427 1.766 10.173 10.841 4 -.1 -.08 0 -.16 -.14 -.13 -.15 -.38 -999 -999 61.099873 46.832954 624.9 .72 -999 135.1 13.3
2016 10 8 282 6126 929.42 1.25 .33 70 3.16 5.41 357.8 -999 -999 89.8 82.6 34.6 33.5 .389 257 310.7 .32 -.99 2.429 1.782 10.139 10.831 0 -.2 -.08 0 -.16 -.14 -.12 -.15 -.38 -999 -999 61.099873 46.83297 624.6 .72 -999 135.4 13.2
2016 10 9 283 6127 936.08 .04 -.96 95.2 3.87 4.31 61.6 -999 -999 28 26.9 22.7 22.6 .857 307 314.2 .91 -.34 2.096 1.777 10.179 10.826 2 -.11 -.09 0 -.16 -.15 -.13 -.15 -.38 -999 -999 61.09987 46.83297 624.2 .78 -999 129.5 12.91
2016 10 10 284 6128 931.08 .63 -.38 93.9 4.02 6.48 40.9 -999 -999 41.3 40.3 34.9 34.8 .865 314.2 316 .95 -.15 2.563 1.747 10.151 10.828 -999 -.11 -.09 0 -.17 -.15 -.13 -.15 -.38 -999 -999 61.099865 46.832977 624.3 .78 -999 130.8 12.95
2016 10 11 285 6129 932.67 -3.32 -4.27 73.4 2.29 7.02 350.4 -999 -999 110.9 94.3 81.7 81.3 .86 230.7 292.3 .27 -4.78 2.429 1.734 10.144 10.821 3 -.1 -.09 .01 -.16 -.15 -.13 -.14 -.37 -999 -999 61.099865 46.832966 625.2 .78 -999 135.3 13.29
2016 10 12 286 6130 926.83 -5.47 -6.45 73.7 1.91 9.32 336.1 -999 -999 112.5 95.6 83.4 83.5 .875 224.4 283.6 .3 -6.8 2.504 1.747 10.106 10.827 -999 -.65 -.09 .01 -.16 -.15 -.12 -.13 -.37 -999 -999 61.09986 46.832966 623.7 .81 -999 143.2 13.39
2016 10 13 287 6131 933.08 -3.83 -4.79 72.1 2.21 6.12 4.9 -999 -999 43.9 42 34.1 32.5 .77 259.2 291.9 .59 -5.11 2.626 1.763 10.168 10.827 0 -1.88 -.09 .01 -.16 -.15 -.13 -.13 -.37 -999 -999 61.09986 46.83297 624.8 .77 -999 131.2 13
2016 10 14 288 6132 937.25 2.55 1.65 80.2 3.92 4.06 37.1 -999 -999 53.3 51.3 36.9 37.3 .726 308.9 318.1 .8 -.02 2.425 1.768 10.21 10.833 -999 -.88 -.09 .02 -.16 -.15 -.13 -.13 -.36 -999 -999 61.099857 46.832966 622 .76 -999 132 13.08
2016 10 15 289 6133 934.33 1 -.01 98.2 4.32 4.77 114.6 -999 -999 14.2 17.4 11.5 11.5 .661 319.1 316.5 .98 -.2 2.461 1.766 10.167 10.825 1 -.16 -.09 .02 -.16 -.15 -.13 -.12 -.36 -999 -999 61.099865 46.832973 622.1 .75 -999 130.8 12.81
2016 10 16 290 6134 930.04 -5.73 -6.75 75.6 1.93 10.3 303.2 -999 -999 102.9 85.7 78.4 57.8 -999 219 284 .26 -6.67 2.53 1.769 10.13 10.826 0 -.79 -.09 .02 -.16 -.15 -.12 -.12 -.36 -999 -999 61.099857 46.83298 623.2 .74 -999 144 13.32
2016 10 17 291 6135 931.08 -7.43 -8.39 74.2 1.62 5.88 359.7 -999 -999 84.5 82.9 62.7 57 -999 228.1 277 .43 -8.43 2.728 1.779 10.141 10.823 -999 -3.04 -.09 .03 -.16 -.14 -.12 -.12 -.36 -999 -999 61.099857 46.832966 623.3 .74 -999 137.2 13.34
2016 10 18 292 6136 927.17 -8.87 -9.9 65.6 1.28 8.31 349.9 -999 -999 102.6 80.8 75 56.7 -999 194.6 266.9 .14 -10.68 2.655 1.782 10.083 10.816 1 -4.44 -.09 .03 -.16 -.15 -.12 -.12 -.36 -999 -999 61.09986 46.832966 623.5 .73 -999 143.4 13.4
2016 10 19 293 6137 912.58 -9.25 -10.33 68.6 1.31 14.41 332.7 -999 -999 103 90.7 73.9 64.8 -999 176.3 265.4 .02 -10.91 2.434 1.786 9.947 10.811 -999 -5.35 -.09 .03 -.17 -.15 -.13 -.12 -.35 -999 -999 61.099857 46.832973 622.7 .73 -999 150.2 13.4
2016 10 20 294 6138 916.09 -11.7 -12.83 66.4 1.01 12.25 318.8 -999 -999 106.7 92.3 76.8 67.1 -999 170.8 254.6 .03 -13.65 2.428 1.783 10.002 10.823 -999 -6.72 -.09 .03 -.16 -.14 -.13 -.11 -.35 -999 -999 61.09986 46.832973 624.3 .74 -999 150.8 13.48
